code,code_0,code_1,code_2,code_3,code_4,description,level,source
N816,N00-N99,N80-N98,N81,,,Rectocele,3,icdcode.info
N818,N00-N99,N80-N98,N81,,,Otros prolapsos genitales femeninos,3,icdcode.info
N819,N00-N99,N80-N98,N81,,,"Prolapso genital femenino, no especificado",3,icdcode.info
N800,N00-N99,N80-N98,N80,,,Endometriosis del útero,3,icdcode.info
N801,N00-N99,N80-N98,N80,,,Endometriosis del ovario,3,icdcode.info
N802,N00-N99,N80-N98,N80,,,Endometriosis de la trompa de Falopio,3,icdcode.info
N803,N00-N99,N80-N98,N80,,,Endometriosis del peritoneo pélvico,3,icdcode.info
N804,N00-N99,N80-N98,N80,,,Endometriosis del tabique rectovaginal y de la vagina,3,icdcode.info
N805,N00-N99,N80-N98,N80,,,Endometriosis del intestino,3,icdcode.info
N806,N00-N99,N80-N98,N80,,,Endometriosis en cicatriz cutánea,3,icdcode.info
N808,N00-N99,N80-N98,N80,,,Otras endometriosis,3,icdcode.info
N809,N00-N99,N80-N98,N80,,,"Endometriosis, no especificada",3,icdcode.info
L080,L00-L99,L00-L08,L08,,,Pioderma,3,icdcode.info
L081,L00-L99,L00-L08,L08,,,Eritrasma,3,icdcode.info
L088,L00-L99,L00-L08,L08,,,Otras infecciones locales especificadas de la piel y del tejido subcutáneo,3,icdcode.info
L089,L00-L99,L00-L08,L08,,,"Infección local de la piel y del tejido subcutáneo, no especificada",3,icdcode.info
L050,L00-L99,L00-L08,L05,,,Quiste pilonidal con absceso,3,icdcode.info
L059,L00-L99,L00-L08,L05,,,Quiste pilonidal sin absceso,3,icdcode.info
L130,L00-L99,L10-L14,L13,,,Dermatitis herpetiforme,3,icdcode.info
L131,L00-L99,L10-L14,L13,,,Dermatitis pustulosa subcorneal,3,icdcode.info
L138,L00-L99,L10-L14,L13,,,Otros trastornos flictenulares especificados,3,icdcode.info
L139,L00-L99,L10-L14,L13,,,"Trastorno flictenular, no especificado",3,icdcode.info
L300,L00-L99,L20-L30,L30,,,Dermatitis numular,3,icdcode.info
L301,L00-L99,L20-L30,L30,,,Dishidrosis [ponfólix],3,icdcode.info
L302,L00-L99,L20-L30,L30,,,Autosensibilización cutánea,3,icdcode.info
J675,J00-J99,J60-J70,J67,,,Pulmón del manipulador de hongos,3,icdcode.info
J676,J00-J99,J60-J70,J67,,,Pulmón del descortezador del arce,3,icdcode.info
J677,J00-J99,J60-J70,J67,,,Neumonitis de la ventilación debida al acondicionador y humidificador del aire,3,icdcode.info
J678,J00-J99,J60-J70,J67,,,SNeumonitis debidas a hipersensibilidad a otros polvos orgánicos,3,icdcode.info
J679,J00-J99,J60-J70,J67,,,Neumonitis debida a hipersensibilidad a polvo orgánico no especificado,3,icdcode.info
I359,I00-I99,I30-I52,I35,,,"Trastorno de la válvula aórtica, no especificado",3,icdcode.info
T147,S00-T88,T08-T14,T14,,,Traumatismo por aplastamiento y amputación traumática de regiones no especificadas del cuerpo,3,icdcode.info
T148,S00-T88,T08-T14,T14,,,Otros traumatismos de región no especificada del cuerpo,3,icdcode.info
T149,S00-T88,T08-T14,T14,,,"Traumatismo, no especificado",3,icdcode.info
T445,S00-T88,T36-T50,T44,,,"Agonistas, predominantemente beta-adrenérgicos, no clasificados en otra parte",3,icdcode.info
T446,S00-T88,T36-T50,T44,,,"Antagonistas alfa-adrenérgicos, no clasificados en otra parte",3,icdcode.info
T447,S00-T88,T36-T50,T44,,,"Antagonistas beta-adrenérgicos, no clasificados en otra parte",3,icdcode.info
T448,S00-T88,T36-T50,T44,,,"Agentes de acción central y bloqueadores neuronales adrenérgicos, no clasificados en otra parte",3,icdcode.info
T449,S00-T88,T36-T50,T44,,,Otras drogas y las no especificadas que afectan principalmente el sistema nervioso autónomo,3,icdcode.info
T406,S00-T88,T36-T50,T40,,,Otros narcóticos y los no especificados,3,icdcode.info
T407,S00-T88,T36-T50,T40,,,Cannabis (derivados),3,icdcode.info
T408,S00-T88,T36-T50,T40,,,Acido lisérgico [LSD],3,icdcode.info
T409,S00-T88,T36-T50,T40,,,Otros psicodislépticos y los no especificados [alucinógenos],3,icdcode.info
T599,S00-T88,T51-T65,T59,,,"Gases, humos y vapores no especificados",3,icdcode.info
Z508,Z00-Z99,Z40-Z54,Z50,,,Atención por otros procedimientos de rehabilitación,3,icdcode.info
Z509,Z00-Z99,Z40-Z54,Z50,,,"Atención por procedimiento de rehabilitación, no especificada",3,icdcode.info
Z449,Z00-Z99,Z40-Z54,Z44,,,Prueba y ajuste de dispositivo protésico externo no especificado,3,icdcode.info
Z435,Z00-Z99,Z40-Z54,Z43,,,Atención de cistostomía,3,icdcode.info
Z436,Z00-Z99,Z40-Z54,Z43,,,Atención de otros orificios artificiales de las vías urinarias,3,icdcode.info
Z437,Z00-Z99,Z40-Z54,Z43,,,Atención de vagina artificial,3,icdcode.info
Z438,Z00-Z99,Z40-Z54,Z43,,,Atención de otros orificios artificiales,3,icdcode.info
Z439,Z00-Z99,Z40-Z54,Z43,,,Atención de orificio artificial no especificado,3,icdcode.info
Z428,Z00-Z99,Z40-Z54,Z42,,,Cuidados posteriores a la cirugía plástica de otras partes especificadas del cuerpo,3,icdcode.info
Z429,Z00-Z99,Z40-Z54,Z42,,,Cuidados posteriores a la cirugía plástica no especificada,3,icdcode.info
Z658,Z00-Z99,Z55-Z65,Z65,,,Otros problemas especificados relacionados con circunstancias psicosociales,3,icdcode.info
Z659,Z00-Z99,Z55-Z65,Z65,,,Problemas relacionados con circunstancias psicosociales no especificadas,3,icdcode.info
Z635,Z00-Z99,Z55-Z65,Z63,,,Problemas relacionados con la ruptura familiar por separación o divorcio,3,icdcode.info
Z636,Z00-Z99,Z55-Z65,Z63,,,"Problemas relacionados con familiar dependiente, necesitado de cuidado en la casa",3,icdcode.info
Z637,Z00-Z99,Z55-Z65,Z63,,,Problemas relacionados con otros hechos estresantes que afectan a la familia y al hogar,3,icdcode.info
Z638,Z00-Z99,Z55-Z65,Z63,,,Otros problemas especificados relacionados con el grupo primario de apoyo,3,icdcode.info
Z639,Z00-Z99,Z55-Z65,Z63,,,Problema no especificado relacionado con el grupo primario de apoyo,3,icdcode.info
Z626,Z00-Z99,Z55-Z65,Z62,,,Problemas relacionados con presiones inapropiadas de los padres y otras anormalidades en la calidad de la crianza,3,icdcode.info
Z628,Z00-Z99,Z55-Z65,Z62,,,Otros problemas especificados y relacionados con la crianza del niño,3,icdcode.info
Z629,Z00-Z99,Z55-Z65,Z62,,,Problema no especificado relacionado con la crianza del niño,3,icdcode.info
Z618,Z00-Z99,Z55-Z65,Z61,,,Problemas relacionados con otras experiencias negativas en la infancia,3,icdcode.info
Z619,Z00-Z99,Z55-Z65,Z61,,,Problemas relacionados con experiencia negativa no especificada en la infancia,3,icdcode.info
Z929,Z00-Z99,Z80-Z99,Z92,,,Historia personal de tratamiento médico no especificado,3,icdcode.info
Z907,Z00-Z99,Z80-Z99,Z90,,,Ausencia adquirida de órgano(s) genital(es),3,icdcode.info
Z908,Z00-Z99,Z80-Z99,Z90,,,Ausencia adquirida de otros órganos,3,icdcode.info
Z897,Z00-Z99,Z80-Z99,Z89,,,"Ausencia adquirida de ambos miembros inferiores [cualquier nivel, excepto dedos del pie solamente]",3,icdcode.info
Z898,Z00-Z99,Z80-Z99,Z89,,,Ausencia adquirida de miembros superiores e inferiores [cualquier nivel],3,icdcode.info
Z899,Z00-Z99,Z80-Z99,Z89,,,Ausencia adquirida de miembros no especificados,3,icdcode.info
Z889,Z00-Z99,Z80-Z99,Z88,,,"Historia personal de alergia a drogas, medicamentos y sustancias biológicas no especificadas",3,icdcode.info
Z859,Z00-Z99,Z80-Z99,Z85,,,"Historia personal de tumor maligno, de sitio no especificado",3,icdcode.info
T847,S00-T88,T80-T88,T84,,,"Infección y reacción inflamatoria debidas a otros disposi­tivos protésicos, implantes e injertos ortopédicos internos",3,icdcode.info
T848,S00-T88,T80-T88,T84,,,"Otras complicaciones de dispositivos protésicos, implantes e injertos ortopédicos internos",3,icdcode.info
T849,S00-T88,T80-T88,T84,,,"Complicaciones no especificadas de dispositivos protésicos, implantes e injertos ortopédicos internos",3,icdcode.info
T814,S00-T88,T80-T88,T81,,,"Infección consecutiva a procedimiento, no clasificada en otra parte",3,icdcode.info
T815,S00-T88,T80-T88,T81,,,Cuerpo extraño dejado accidentalmente en cavidad corporal o en herida operatoria consecutiva a procedimiento,3,icdcode.info
T816,S00-T88,T80-T88,T81,,,Reacción aguda a sustancia extraña dejada accidentalmente durante un procedimiento,3,icdcode.info
T817,S00-T88,T80-T88,T81,,,"Complicaciones vasculares consecutivas a procedimiento, no clasificadas en otra parte",3,icdcode.info
T818,S00-T88,T80-T88,T81,,,"Otras complicaciones de procedimientos, no clasificadas en otra parte",3,icdcode.info
T819,S00-T88,T80-T88,T81,,,"Complicación de procedimientos, no especificada",3,icdcode.info
T809,S00-T88,T80-T88,T80,,,"Complicaciones no especificadas consecutivas a infusión, transfusión e inyección terapéutica",3,icdcode.info
T938,S00-T88,T90-T98,T93,,,Secuelas de otros traumatismos especificados de miembro inferior,3,icdcode.info
T939,S00-T88,T90-T98,T93,,,Secuelas de traumatismo no especificado de miembro inferior,3,icdcode.info
T928,S00-T88,T90-T98,T92,,,Secuelas de otros traumatismos especificados de miembro superior,3,icdcode.info
T929,S00-T88,T90-T98,T92,,,Secuelas de traumatismo no especificado de miembro superior,3,icdcode.info
T919,S00-T88,T90-T98,T91,,,Secuelas de traumatismo no especificado del cuello y del tronco,3,icdcode.info
L290,L00-L99,L20-L30,L29,,,Prurito anal,3,icdcode.info
L291,L00-L99,L20-L30,L29,,,Prurito escrotal,3,icdcode.info
L292,L00-L99,L20-L30,L29,,,Prurito vulvar,3,icdcode.info
L293,L00-L99,L20-L30,L29,,,"Prurito anogenital, no especificado",3,icdcode.info
L298,L00-L99,L20-L30,L29,,,Otros pruritos,3,icdcode.info
L299,L00-L99,L20-L30,L29,,,"Prurito, no especificado",3,icdcode.info
L280,L00-L99,L20-L30,L28,,,Liquen simple crónico,3,icdcode.info
L281,L00-L99,L20-L30,L28,,,Prurigo nodular,3,icdcode.info
L282,L00-L99,L20-L30,L28,,,Otros prurigos,3,icdcode.info
L270,L00-L99,L20-L30,L27,,,Erupción cutánea generalizada debida a drogas y medicamentos,3,icdcode.info
L271,L00-L99,L20-L30,L27,,,Erupción cutánea localizada debida a drogas y medicamentos,3,icdcode.info
L272,L00-L99,L20-L30,L27,,,Dermatitis debida a ingestión de alimentos,3,icdcode.info
L278,L00-L99,L20-L30,L27,,,Dermatitis debida a otras sustancias ingeridas,3,icdcode.info
L279,L00-L99,L20-L30,L27,,,Dermatitis debida a sustancias ingeridas no especificadas,3,icdcode.info
K130,K00-K95,K00-K14,K13,,,Enfermedades de los labios,3,icdcode.info
K131,K00-K95,K00-K14,K13,,,Mordedura del labio y de la mejilla,3,icdcode.info
K132,K00-K95,K00-K14,K13,,,"Leucoplasia y otras alteraciones del epitelio bucal, incluyendo la lengua",3,icdcode.info
K133,K00-K95,K00-K14,K13,,,Leucoplasia pilosa,3,icdcode.info
K134,K00-K95,K00-K14,K13,,,Granuloma y lesiones semejantes de la mucosa bucal,3,icdcode.info
K135,K00-K95,K00-K14,K13,,,Fibrosis de la submucosa bucal,3,icdcode.info
K136,K00-K95,K00-K14,K13,,,Hiperplasia irrritativa de la mucosa bucal,3,icdcode.info
K137,K00-K95,K00-K14,K13,,,Otras lesiones y las no especificadas de la mucosa bucal,3,icdcode.info
K120,K00-K95,K00-K14,K12,,,Estomatitis aftosa recurrente,3,icdcode.info
K121,K00-K95,K00-K14,K12,,,Otras formas de estomatitis,3,icdcode.info
K122,K00-K95,K00-K14,K12,,,Celulitis y absceso de boca,3,icdcode.info
K110,K00-K95,K00-K14,K11,,,Atrofia de glándula salival,3,icdcode.info
K111,K00-K95,K00-K14,K11,,,Hipertrofia de glándula salival,3,icdcode.info
K112,K00-K95,K00-K14,K11,,,Sialadenitis,3,icdcode.info
K113,K00-K95,K00-K14,K11,,,Absceso de glándula salival,3,icdcode.info
K114,K00-K95,K00-K14,K11,,,Fístula de glándula salival,3,icdcode.info
K115,K00-K95,K00-K14,K11,,,Sialolitiasis,3,icdcode.info
K116,K00-K95,K00-K14,K11,,,Mucocele de glándula salival,3,icdcode.info
K117,K00-K95,K00-K14,K11,,,Alteraciones de la secreción salival,3,icdcode.info
K118,K00-K95,K00-K14,K11,,,Otras enfermedades de las glándulas salivales,3,icdcode.info
K119,K00-K95,K00-K14,K11,,,"Enfermedad de glándula salival, no especificada",3,icdcode.info
K100,K00-K95,K00-K14,K10,,,Trastornos del desarrollo de los maxilares,3,icdcode.info
K101,K00-K95,K00-K14,K10,,,Granuloma central de células gigantes,3,icdcode.info
K102,K00-K95,K00-K14,K10,,,Afecciones inflamatorias de los maxilares,3,icdcode.info
K103,K00-K95,K00-K14,K10,,,Alveolitis del maxilar,3,icdcode.info
K108,K00-K95,K00-K14,K10,,,Otras enfermedades especificadas de los maxilares,3,icdcode.info
K109,K00-K95,K00-K14,K10,,,"Enfermedad de los maxilares, no especificada",3,icdcode.info
K090,K00-K95,K00-K14,K09,,,Quistes originados por el desarrollo de los dientes,3,icdcode.info
K091,K00-K95,K00-K14,K09,,,Quistes de las fisuras (no odontogénicos),3,icdcode.info
K092,K00-K95,K00-K14,K09,,,Otros quistes de los maxilares,3,icdcode.info
K098,K00-K95,K00-K14,K09,,,"Otros quistes de la región bucal, no clasificados en otra parte",3,icdcode.info
K099,K00-K95,K00-K14,K09,,,"Quiste de la región bucal, sin otra especificación",3,icdcode.info
K080,K00-K95,K00-K14,K08,,,Exfoliación de los dientes debida a causas sistémicas,3,icdcode.info
K081,K00-K95,K00-K14,K08,,,"Pérdida de dientes debida a accidente, extracción o enfermedad periodontal local",3,icdcode.info
K082,K00-K95,K00-K14,K08,,,Atrofia del reborde alveolar desdentado,3,icdcode.info
K083,K00-K95,K00-K14,K08,,,Raíz dental retenida,3,icdcode.info
K088,K00-K95,K00-K14,K08,,,Otras afecciones especificadas de los dientes y de sus estructuras de sostén,3,icdcode.info
K089,K00-K95,K00-K14,K08,,,"Trastorno de los dientes y de sus estructuras de sostén, no especificado",3,icdcode.info
K070,K00-K95,K00-K14,K07,,,Anomalías evidentes del tamaño de los maxilares,3,icdcode.info
K071,K00-K95,K00-K14,K07,,,Anomalías de la relación maxilobasilar,3,icdcode.info
K072,K00-K95,K00-K14,K07,,,Anomalías de la relación entre los arcos dentarios,3,icdcode.info
K073,K00-K95,K00-K14,K07,,,Anomalías de la posición del diente,3,icdcode.info
K074,K00-K95,K00-K14,K07,,,Maloclusión de tipo no especificado,3,icdcode.info
K075,K00-K95,K00-K14,K07,,,Anomalías dentofaciales funcionales,3,icdcode.info
K060,K00-K95,K00-K14,K06,,,Retracción gingival,3,icdcode.info
K061,K00-K95,K00-K14,K06,,,Hiperplasia gingival,3,icdcode.info
K062,K00-K95,K00-K14,K06,,,Lesiones de la encía y de la zona edéntula asociadas con traumatismo,3,icdcode.info
K068,K00-K95,K00-K14,K06,,,Otros trastornos especificados de la encía y de la zona edéntula,3,icdcode.info
K069,K00-K95,K00-K14,K06,,,Trastorno no especificado de la encía y de la zona edéntula,3,icdcode.info
K310,K00-K95,K20-K31,K31,,,Dilatación aguda del estómago,3,icdcode.info
K311,K00-K95,K20-K31,K31,,,Estenosis pilórica hipertrófica del adulto,3,icdcode.info
K312,K00-K95,K20-K31,K31,,,Estrechez o estenosis del estómago en reloj de arena,3,icdcode.info
K313,K00-K95,K20-K31,K31,,,"Espasmo del píloro, no clasificado en otra parte",3,icdcode.info
K314,K00-K95,K20-K31,K31,,,Divertículo gástrico,3,icdcode.info
K290,K00-K95,K20-K31,K29,,,Gastritis aguda hemorrágica,3,icdcode.info
K291,K00-K95,K20-K31,K29,,,Otras gastritis agudas,3,icdcode.info
K292,K00-K95,K20-K31,K29,,,Gastritis alcohólica,3,icdcode.info
K293,K00-K95,K20-K31,K29,,,Gastritis crónica superficial,3,icdcode.info
K294,K00-K95,K20-K31,K29,,,Gastritis crónica atrófica,3,icdcode.info
K295,K00-K95,K20-K31,K29,,,"Gastritis crónica, no especificada",3,icdcode.info
K296,K00-K95,K20-K31,K29,,,Otras gastritis,3,icdcode.info
K297,K00-K95,K20-K31,K29,,,"Gastritis, no especificada",3,icdcode.info
K298,K00-K95,K20-K31,K29,,,Duodenitis,3,icdcode.info
K299,K00-K95,K20-K31,K29,,,"Gastroduodenitis, no especificada",3,icdcode.info
O365,O00-O9A,O30-O48,O36,,,Atención materna por déficit del crecimiento fetal,3,icdcode.info
O366,O00-O9A,O30-O48,O36,,,Atención materna por crecimiento fetal excesivo,3,icdcode.info
O367,O00-O9A,O30-O48,O36,,,Atención materna por feto viable en embarazo abdominal,3,icdcode.info
O368,O00-O9A,O30-O48,O36,,,Atención materna por otros problemas fetales especificados,3,icdcode.info
O369,O00-O9A,O30-O48,O36,,,Atención materna por problemas fetales no especificados,3,icdcode.info
K230,K00-K95,K20-K31,K23,,,Esofagitis tuberculosa (A18.8),3,icdcode.info
K231,K00-K95,K20-K31,K23,,,Megaesófago en la enfermedad de Chagas (B57.3),3,icdcode.info
K238,K00-K95,K20-K31,K23,,,Trastornos del esófago en otras enfermedades clasificadas en otra parte,3,icdcode.info
K460,K00-K95,K40-K46,K46,,,"Hernia abdominal no especificada, con obstrucción, sin gangrena",3,icdcode.info
K461,K00-K95,K40-K46,K46,,,"Hernia abdominal no especificada, con gangrena",3,icdcode.info
K469,K00-K95,K40-K46,K46,,,"Hernia abdominal no especificada, sin obstrucción ni gangrena",3,icdcode.info
K450,K00-K95,K40-K46,K45,,,"Otras hernias de la cavidad abdominal especificadas, con obstrucción, sin gangrena",3,icdcode.info
K451,K00-K95,K40-K46,K45,,,"Otras hernias de la cavidad abdominal especificadas, con gangrena",3,icdcode.info
K458,K00-K95,K40-K46,K45,,,"Otras hernias de la cavidad abdominal especificadas, sin obstrucción ni gangrena",3,icdcode.info
K440,K00-K95,K40-K46,K44,,,"Hernia diafragmática con obstrucción, sin gangrena",3,icdcode.info
K441,K00-K95,K40-K46,K44,,,Hernia diafragmática con gangrena,3,icdcode.info
K449,K00-K95,K40-K46,K44,,,Hernia diafragmática sin obstrucción ni gangrena,3,icdcode.info
K630,K00-K95,K55-K63,K63,,,Absceso del intestino,3,icdcode.info
K631,K00-K95,K55-K63,K63,,,Perforación del intestino (no traumática),3,icdcode.info
K632,K00-K95,K55-K63,K63,,,Fístula del intestino,3,icdcode.info
K633,K00-K95,K55-K63,K63,,,Úlcera del intestino,3,icdcode.info
K634,K00-K95,K55-K63,K63,,,Enteroptosis,3,icdcode.info
K635,K00-K95,K55-K63,K63,,,Pólipo del colon,3,icdcode.info
K638,K00-K95,K55-K63,K63,,,Otras enfermedades especificadas del intestino,3,icdcode.info
K639,K00-K95,K55-K63,K63,,,"Enfermedad del intestino, no especificada",3,icdcode.info
K620,K00-K95,K55-K63,K62,,,Pólipo anal,3,icdcode.info
K621,K00-K95,K55-K63,K62,,,Pólipo rectal,3,icdcode.info
K622,K00-K95,K55-K63,K62,,,Prolapso anal,3,icdcode.info
K623,K00-K95,K55-K63,K62,,,Prolapso rectal,3,icdcode.info
K624,K00-K95,K55-K63,K62,,,Estenosis del ano y del recto,3,icdcode.info
K625,K00-K95,K55-K63,K62,,,Hemorragia del ano y del recto,3,icdcode.info
K626,K00-K95,K55-K63,K62,,,Úlcera del ano y del recto,3,icdcode.info
K627,K00-K95,K55-K63,K62,,,Proctitis por radiación,3,icdcode.info
J060,J00-J99,J00-J06,J06,,,Laringofaringitis aguda,3,icdcode.info
J068,J00-J99,J00-J06,J06,,,Otras infecciones agudas de sitios múltiples de las vías respiratorias superiores,3,icdcode.info
J069,J00-J99,J00-J06,J06,,,"Infección aguda de las vías respiratorias superiores, no especificada",3,icdcode.info
J050,J00-J99,J00-J06,J05,,,"Laringitis obstructiva, aguda [crup]",3,icdcode.info
J051,J00-J99,J00-J06,J05,,,Epiglotitis aguda,3,icdcode.info
J180,J00-J99,J09-J18 ,J18,,,"Bronconeumonía, no especificada",3,icdcode.info
J181,J00-J99,J09-J18 ,J18,,,"Neumonía lobar, no especificada",3,icdcode.info
J182,J00-J99,J09-J18 ,J18,,,"Neumonía hipostática, no especificada",3,icdcode.info
J188,J00-J99,J09-J18 ,J18,,,"Otras neumonías, de microorganismo no especificado",3,icdcode.info
J189,J00-J99,J09-J18 ,J18,,,"Neumonía, no especificada",3,icdcode.info
J170,J00-J99,J09-J18 ,J17,,,Neumonía en enfermedades bacterianas clasificadas en otra parte,3,icdcode.info
J171,J00-J99,J09-J18 ,J17,,,Neumonía en enfermedades virales clasificadas en otra parte,3,icdcode.info
J172,J00-J99,J09-J18 ,J17,,,Neumonía en micosis,3,icdcode.info
J173,J00-J99,J09-J18 ,J17,,,Neumonía en enfermedades parasitarias,3,icdcode.info
J178,J00-J99,J09-J18 ,J17,,,Neumonía en otras enfermedades clasificadas en otra parte,3,icdcode.info
J160,J00-J99,J09-J18 ,J16,,,Neumonía debida a clamidias,3,icdcode.info
J168,J00-J99,J09-J18 ,J16,,,Neumonía debida a otros microorganismos infecciosos especificados,3,icdcode.info
J150,J00-J99,J09-J18 ,J15,,,Neumonía debida a Klebsiella pneumoniae,3,icdcode.info
J151,J00-J99,J09-J18 ,J15,,,Neumonía debida a Pseudomonas,3,icdcode.info
J152,J00-J99,J09-J18 ,J15,,,Neumonía debida a estafilococos,3,icdcode.info
J153,J00-J99,J09-J18 ,J15,,,Neumonía debida a estreptococos del grupo B,3,icdcode.info
J154,J00-J99,J09-J18 ,J15,,,Neumonía debida a otros estreptococos,3,icdcode.info
J155,J00-J99,J09-J18 ,J15,,,Neumonía debida a Escherichia coli,3,icdcode.info
J156,J00-J99,J09-J18 ,J15,,,Neumonía debida a otras bacterias aeróbicas gramnegativas,3,icdcode.info
J157,J00-J99,J09-J18 ,J15,,,Neumonía debida a Mycoplasma pneumoniae,3,icdcode.info
J158,J00-J99,J09-J18 ,J15,,,Otras neumonías bacterianas,3,icdcode.info
J159,J00-J99,J09-J18 ,J15,,,"Neumonía bacteriana, no especificada",3,icdcode.info
J120,J00-J99,J09-J18 ,J12,,,Neumonía debida a adenovirus,3,icdcode.info
J121,J00-J99,J09-J18 ,J12,,,Neumonía debida a virus sincitial respiratorio,3,icdcode.info
J122,J00-J99,J09-J18 ,J12,,,Neumonía debida a virus parainfluenza,3,icdcode.info
J128,J00-J99,J09-J18 ,J12,,,Neumonía debida a otros virus,3,icdcode.info
J129,J00-J99,J09-J18 ,J12,,,"Neumonía viral, no especificada",3,icdcode.info
J390,J00-J99,J30-J39 ,J39,,,Absceso retrofaríngeo y parafaríngeo,3,icdcode.info
J391,J00-J99,J30-J39 ,J39,,,Otros abscesos de la faringe,3,icdcode.info
J392,J00-J99,J30-J39 ,J39,,,Otras enfermedades de la faringe,3,icdcode.info
J393,J00-J99,J30-J39 ,J39,,,"Reacción de hipersensibilidad de las vías respiratorias superiores, sitio no especificado",3,icdcode.info
J398,J00-J99,J30-J39 ,J39,,,Otras enfermedades especificadas de las vías respiratorias superiores,3,icdcode.info
J399,J00-J99,J30-J39 ,J39,,,"Enfermedad de las vías respiratorias superiores, no especificada",3,icdcode.info
J380,J00-J99,J30-J39 ,J38,,,Parálisis de las cuerdas vocales y de la laringe,3,icdcode.info
J381,J00-J99,J30-J39 ,J38,,,Pólipo de las cuerdas vocales y de la laringe,3,icdcode.info
J382,J00-J99,J30-J39 ,J38,,,Nódulos de las cuerdas vocales,3,icdcode.info
J383,J00-J99,J30-J39 ,J38,,,Otras enfermedades de las cuerdas vocales,3,icdcode.info
J384,J00-J99,J30-J39 ,J38,,,Edema de laringe,3,icdcode.info
J385,J00-J99,J30-J39 ,J38,,,Espasmo laríngeo,3,icdcode.info
J386,J00-J99,J30-J39 ,J38,,,Estenosis laríngea,3,icdcode.info
J387,J00-J99,J30-J39 ,J38,,,Otras enfermedades de la laringe,3,icdcode.info
J370,J00-J99,J30-J39 ,J37,,,Laringitis crónica,3,icdcode.info
J371,J00-J99,J30-J39 ,J37,,,Laringotraqueítis crónica,3,icdcode.info
J350,J00-J99,J30-J39 ,J35,,,Amigdalitis crónica,3,icdcode.info
J351,J00-J99,J30-J39 ,J35,,,Hipertrofia de las amígdalas,3,icdcode.info
J352,J00-J99,J30-J39 ,J35,,,Hipertrofia de las adenoides,3,icdcode.info
J353,J00-J99,J30-J39 ,J35,,,Hipertrofia de las amígdalas con hipertrofia de las adenoides,3,icdcode.info
J358,J00-J99,J30-J39 ,J35,,,Otras enfermedades crónicas de las amígdalas y de las adenoides,3,icdcode.info
J359,J00-J99,J30-J39 ,J35,,,"Enfermedad crónica de las amígdalas y de las adenoides, no especificada",3,icdcode.info
J340,J00-J99,J30-J39 ,J34,,,"Absceso, furúnculo y ántrax de la nariz",3,icdcode.info
J341,J00-J99,J30-J39 ,J34,,,Quiste y mucocele de la nariz y del seno paranasal,3,icdcode.info
J342,J00-J99,J30-J39 ,J34,,,Desviación del tabique nasal,3,icdcode.info
J343,J00-J99,J30-J39 ,J34,,,Hipertrofia de los cornetes nasales,3,icdcode.info
J348,J00-J99,J30-J39 ,J34,,,Otros trastornos especificados de la nariz y de los senos paranasales,3,icdcode.info
J330,J00-J99,J30-J39 ,J33,,,Pólipo de la cavidad nasal,3,icdcode.info
J331,J00-J99,J30-J39 ,J33,,,Degeneración polipoide de seno paranasal,3,icdcode.info
J338,J00-J99,J30-J39 ,J33,,,Otros pólipos de los senos paranasales,3,icdcode.info
J339,J00-J99,J30-J39 ,J33,,,"Pólipo nasal, no especificado",3,icdcode.info
I090,I00-I99,I05-I09,I09,,,Miocarditis reumática,3,icdcode.info
I091,I00-I99,I05-I09,I09,,,"Enfermedades reumáticas del endocardio, válvula no especificada",3,icdcode.info
I092,I00-I99,I05-I09,I09,,,Pericarditis reumática crónica,3,icdcode.info
I098,I00-I99,I05-I09,I09,,,Otras enfermedades reumáticas especificadas del corazón,3,icdcode.info
I099,I00-I99,I05-I09,I09,,,"Enfermedad reumática del corazón, no especificada",3,icdcode.info
A363,A00-B99,A30-A49,A36,,,Difteria cutánea,3,icdcode.info
A368,A00-B99,A30-A49,A36,,,Otras difterias,3,icdcode.info
A369,A00-B99,A30-A49,A36,,,"Difteria, no especificada",3,icdcode.info
A546,A00-B99,A50-A64,A54,,,Infección gonocócica del ano y del recto,3,icdcode.info
A548,A00-B99,A50-A64,A54,,,Otras infecciones gonocócicas,3,icdcode.info
A549,A00-B99,A50-A64,A54,,,"Infección gonocócica, no especificada",3,icdcode.info
N309,N00-N99,N30-N39,N30,,,"Cistitis, no especificada",3,icdcode.info
N839,N00-N99,N80-N98,N83,,,"Enfermedad no inflamatoria del ovario, de la trompa de Falopio y del ligamento ancho, no especificada",3,icdcode.info
L303,L00-L99,L20-L30,L30,,,Dermatitis infecciosa,3,icdcode.info
L304,L00-L99,L20-L30,L30,,,Eritema intertrigo,3,icdcode.info
L305,L00-L99,L20-L30,L30,,,Pitiriasis alba,3,icdcode.info
L308,L00-L99,L20-L30,L30,,,Otras dermatitis especificadas,3,icdcode.info
L309,L00-L99,L20-L30,L30,,,"Dermatitis, no especificada",3,icdcode.info
I150,I00-I99,I10-I15,I15,,,Hipertensión renovascular,3,icdcode.info
I151,I00-I99,I10-I15,I15,,,Hipertensión secundaria a otros trastornos renales,3,icdcode.info
I152,I00-I99,I10-I15,I15,,,Hipertensión secundaria a trastornos endocrinos,3,icdcode.info
I158,I00-I99,I10-I15,I15,,,Otros tipos de hipertensión secundaria,3,icdcode.info
I159,I00-I99,I10-I15,I15,,,"Hipertensión secundaria, no especificada",3,icdcode.info
